,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
6460,High With Somebody,9,2018-08-16,"Sandro Cavazza, P3GI-13",https://open.spotify.com/track/6IhosQhN1ayHO4XP72XFXy,Sweden,102559.0,0.785,0.644,5.0,-7.856,0.0813,0.0242,0.000118,0.152,0.789,115.906,174666.0,Pop
6461,KINGSTON,9,2021-08-09,"HAVAL, Manny Flaco",https://open.spotify.com/track/37IQEsFfN0vShGeJ6QhZy6,Sweden,97890.0,0.722,0.796,6.0,-4.939,0.0537,0.37,1.32e-06,0.0635,0.927,87.0,146245.0,Rap
6462,Encore,9,2018-09-19,MHD,https://open.spotify.com/track/0zMh8TfG17o2omRXPGKI3w,France,161828.0,0.742,0.9,7.0,-4.979,0.171,0.41,0.0,0.2,0.801,113.05,199009.0,Rap
6463,PXM,9,2018-11-09,Salmo,https://open.spotify.com/track/6Jv6R1QvVm2CuCbqLi1nAT,Italy,612914.0,0.676,0.659,7.0,-9.091,0.108,0.123,0.000176,0.206,0.536,160.044,184507.0,Rap
6464,Halb 3 (feat. Miksu / Macloud),9,2020-07-24,Luciano,https://open.spotify.com/track/60kRngoF681aoDmRvL9X8p,Germany,556523.0,0.807,0.59,2.0,-8.128,0.121,0.111,2.23e-05,0.0855,0.573,147.861,182253.0,Rap
6465,Kort Lontje,9,2020-07-10,Boef,https://open.spotify.com/track/1aBkxC0tOZ21MZwWSuU8d2,Netherlands,300219.0,0.804,0.66,11.0,-9.233,0.521,0.105,0.0,0.0971,0.518,89.86,151902.0,Rap
6466,3arbouch,9,2021-01-18,NORDO,https://open.spotify.com/track/01CJo2bZ28t0rtcWxmfGfw,Morocco,7351.0,0.716,0.79,2.0,-6.157,0.1,0.358,0.0216,0.147,0.239,93.981,184468.0,Rap
6467,Hope,9,2018-06-19,XXXTENTACION,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,Romania,4523.0,0.592,0.457,9.0,-6.081,0.0603,0.661,0.000331,0.146,0.225,146.04,110886.0,Rap
6468,Fun Tonight,9,2020-05-29,Lady Gaga,https://open.spotify.com/track/6hyQVqfHFvsJDjcmj4qrHf,Brazil,474286.0,0.645,0.923,11.0,-4.262,0.0725,0.364,1.06e-06,0.14,0.323,117.945,173427.0,Pop
6469,Quanto ti vorrei,9,2021-10-20,"chiello, Shablo",https://open.spotify.com/track/2KdcUxAJWAARnGTWmSWxwu,Italy,221571.0,0.476,0.711,2.0,-5.769,0.0336,0.00721,1.81e-06,0.0842,0.756,185.996,180343.0,Pop
6470,Mazalat,9,2020-07-24,"Afroto, Batistuta",https://open.spotify.com/track/2zRBarompNSVRlcHkoxygz,Egypt,3429.0,0.795,0.595,5.0,-7.171,0.297,0.0358,0.0,0.253,0.504,151.114,219342.0,Rap
6471,Mon soleil,9,2021-08-21,"Dadju, Anitta",https://open.spotify.com/track/2Dv1CPIgX29t816ZLscdB2,France,209409.0,0.656,0.718,2.0,-6.482,0.202,0.129,0.0,0.0726,0.665,176.27,190758.0,Pop
6472,Prices,9,2020-03-07,Lil Uzi Vert,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn,United States,1565891.0,0.786,0.683,7.0,-5.397,0.205,0.173,0.0,0.706,0.57,126.002,233333.0,Rap
6473,Ttg,9,2021-06-06,Light,https://open.spotify.com/track/2VtwLRUgXEebI1DTGJTOCb,Greece,41530.0,0.787,0.559,10.0,-7.454,0.262,0.0153,0.0,0.275,0.242,142.168,190880.0,Rap
