index,title,rank,date,artist,url,region,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
90,Waalian,1,2021-01-14,Harnoor,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh,India,193823.0,0.705,0.412,1.0,-9.203,1.0,0.175,0.416,0.0,0.105,0.307,84.904,222313.0
91,Deu Onda,1,2017-01-06,MC G15,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,Brazil,594523.0,0.931,0.604,0.0,-1.41,0.0,0.0573,0.456,0.0,0.0488,0.864,129.926,144039.0
92,Sorry Mamma,1,2019-03-16,"Herra Hnetusmjör, Huginn",https://open.spotify.com/track/2wvXdb6skBuQLo0bcdEo8S,Iceland,10399.0,0.823,0.549,10.0,-8.632,0.0,0.148,0.283,0.0,0.0855,0.781,90.001,124732.0
93,Rojo,1,2020-04-15,J Balvin,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,Paraguay,30851.0,0.663,0.598,11.0,-4.042,1.0,0.17,0.193,8.02e-05,0.0856,0.4,172.245,150720.0
94,Hon dansar vidare i livet,1,2018-04-12,Hov1,https://open.spotify.com/track/0DsMfCqOclDOvEeExl6zNY,Sweden,285188.0,0.655,0.651,8.0,-7.063,1.0,0.122,0.0267,0.0,0.133,0.782,90.054,248893.0
95,Roses - Imanbek Remix,1,2020-06-18,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,Slovakia,8879.0,0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840.0
96,Wieder Lila,1,2019-05-27,"Samra, Capital Bra",https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,Germany,830793.0,0.656,0.756,2.0,-4.026,0.0,0.3,0.435,0.0,0.0934,0.645,168.031,188057.0
97,Blijven Slapen,1,2021-05-13,"Snelle, Maan",https://open.spotify.com/track/7BRKEcW05hOZMJ3bKOOzQl,Netherlands,213346.0,0.751,0.549,5.0,-7.798,0.0,0.106,0.221,0.0,0.112,0.735,106.01,170992.0
98,Ignorantes,1,2020-03-17,"Bad Bunny, Sech",https://open.spotify.com/track/38RIEav39FGi86jppxO0du,Panama,20893.0,0.85,0.536,1.0,-5.161,1.0,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,210607.0
99,Första Klass,1,2019-06-14,Einár,https://open.spotify.com/track/74TEgDsFaq0zMttq1dVuYK,Sweden,247612.0,0.799,0.663,8.0,-4.956,0.0,0.171,0.389,0.0,0.105,0.425,95.053,151579.0
100,Lovesick Girls,1,2020-10-17,BLACKPINK,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,Vietnam,29640.0,0.654,0.707,6.0,-5.661,1.0,0.0664,0.00559,0.0,0.0873,0.448,127.97,194765.0
101,Elle est bonne sa mère,1,2019-08-05,"Vegedream, Ninho",https://open.spotify.com/track/7j56bK7gq6iV7zsD6lbP4J,France,243466.0,0.787,0.741,4.0,-5.484,0.0,0.0592,0.329,1.88e-05,0.341,0.466,105.0,196880.0
102,Kaller På Deg,1,2020-03-17,TIX,https://open.spotify.com/track/0lnksmEu1sa7t16YwhIP10,Norway,121431.0,0.576,0.913,6.0,-3.718,1.0,0.083,0.061,0.0,0.161,0.62,128.024,201134.0
103,Elegí (feat. Dímelo Flow),1,2020-06-18,"Rauw Alejandro, Dalex, Lenny Tavárez",https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau,Paraguay,38246.0,0.824,0.631,0.0,-2.791,1.0,0.0809,0.237,0.000116,0.0531,0.678,171.965,197721.0
104,God's Plan,1,2018-04-13,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,Belgium,35773.0,0.758,0.448,7.0,-9.441,1.0,0.103,0.0309,8.67e-05,0.558,0.373,77.176,198960.0
105,Royal Rumble,1,2019-06-14,"Kalazh44, Capital Bra, Samra, Nimo, Luciano",https://open.spotify.com/track/4Rif4wqdvzy84dhP1apC4Y,Switzerland,63362.0,0.591,0.888,1.0,-3.161,1.0,0.274,0.105,2.63e-05,0.0928,0.574,126.881,245000.0
